1,2,3,0,1,3,0,1,2,3,3,10,10,10,10,11,12,13,0,1,2,3,3,1,2,3,10,0,1,2,3,2,3,1,2,3,0,1,2,3,3,2,3,3,3,3,0,1,2,3,0,1
1,2,3,0,1,1,0,1,2,3,13,20,20,20,20,21,22,23,3,3,3,3,13,3,3,3,1,2,3,3,3,3,13,2,3,3,2,3,3,3,13,2,3,13,13,13,0,1,2,3,0,1
1,2,3,0,1,1,0,1,2,3,23,30,30,30,30,31,32,33,13,13,13,13,23,3,13,13,3,3,3,13,13,13,23,3,13,13,3,3,13,13,23,3,3,23,23,23,0,1,2,3,0,1
1,2,3,0,1,1,0,1,2,3,33,30,31,32,33,33,23,23,23,23,23,23,33,13,23,23,13,13,13,23,23,23,33,13,23,23,13,13,23,23,33,13,13,33,33,33,0,1,2,3,0,1
1,2,3,0,0,1,0,1,2,3,3,3,30,31,32,33,33,33,33,33,33,33,23,23,33,33,23,23,23,33,33,33,33,23,33,33,23,23,33,33,23,23,23,31,32,33,0,1,2,3,0,1
1,2,3,0,0,1,0,1,2,3,13,13,31,30,31,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,31,32,33,33,32,33,33,33,32,33,33,33,33,31,32,33,0,1,2,3,0,1
1,2,3,10,0,1,0,1,2,3,23,23,20,20,20,10,10,10,10,0,1,2,3,20,20,20,10,10,30,31,32,33,2,3,20,20,20,10,10,10,10,10,11,12,13,13,0,1,2,3,0,1
1,2,3,20,0,1,0,0,1,2,3,33,30,30,30,20,20,20,20,0,1,2,3,30,30,30,20,20,20,20,0,1,2,3,30,30,30,20,20,20,20,20,21,22,23,23,0,1,2,3,0,1
1,2,3,30,0,0,0,0,1,2,3,33,33,23,0,0,0,0,0,0,1,2,3,33,23,0,0,0,0,0,0,1,2,3,33,23,0,0,0,0,0,30,31,32,33,33,0,1,2,3,0,1
1,2,3,1,2,0,10,0,1,2,3,33,0,0,4,5,5,5,6,0,1,2,3,0,0,4,5,5,5,6,0,1,2,3,0,0,4,5,5,5,6,0,30,31,32,33,0,1,2,3,0,0
1,2,3,0,1,0,20,0,1,2,3,0,1,2,14,15,15,15,16,10,11,12,13,1,2,14,15,15,15,16,10,11,12,13,1,2,14,15,15,15,16,10,30,31,32,33,0,1,2,3,0,0
1,2,3,0,1,0,30,0,1,2,3,0,0,0,14,15,7,8,26,20,21,22,23,0,0,14,15,7,8,26,20,21,22,23,0,0,14,15,7,8,26,20,30,31,32,33,0,1,2,3,10,0
1,2,3,0,1,0,1,2,3,3,3,1,0,0,14,15,17,11,11,30,31,32,33,0,0,14,15,17,11,11,30,31,32,33,0,0,14,15,17,11,11,30,30,31,32,33,0,1,2,3,20,0
1,2,3,0,0,2,0,1,2,3,13,4,5,5,29,15,27,5,6,0,1,2,4,5,5,29,15,27,5,6,0,1,2,4,5,5,29,15,27,5,6,30,31,32,33,13,0,1,2,3,30,0
1,2,3,10,0,1,0,1,2,3,23,14,15,15,15,15,15,15,16,10,11,12,14,15,15,15,15,15,15,16,10,11,12,14,15,15,15,15,15,15,16,30,31,32,33,23,0,1,2,3,1,2
1,2,3,20,0,1,0,1,2,3,33,24,25,25,9,15,7,25,26,20,21,22,24,25,25,9,15,7,25,26,20,21,22,24,25,25,9,15,7,25,26,30,31,32,33,33,0,1,2,3,0,1
1,2,3,0,1,1,0,0,1,2,3,20,20,0,19,15,17,0,0,0,1,2,3,20,0,19,15,17,0,0,0,1,2,3,20,0,19,15,17,0,0,10,30,31,32,33,0,1,2,3,0,1
1,2,3,0,1,0,10,0,1,2,3,30,30,10,19,15,27,5,6,0,1,2,3,30,10,19,15,27,5,6,0,1,2,3,30,10,19,15,27,5,6,20,30,31,32,33,0,1,2,3,0,1
1,2,3,0,1,0,20,0,1,2,3,12,13,20,14,15,15,15,16,0,1,2,3,13,20,14,15,15,15,16,0,1,2,3,13,20,14,15,15,15,16,30,30,31,32,33,0,1,2,3,0,0
1,2,3,0,1,0,0,1,2,3,3,22,23,30,24,25,25,25,26,0,1,2,3,23,30,24,25,25,25,26,0,1,2,3,23,30,24,25,25,25,26,30,31,32,33,13,0,1,2,3,10,0
1,2,3,0,1,1,0,1,2,3,13,0,0,0,0,1,2,30,31,0,1,2,3,0,0,0,1,2,30,31,0,1,2,3,0,0,0,1,2,30,31,30,31,32,33,0,0,1,2,3,20,0
1,2,3,1,2,1,0,1,2,3,23,10,0,0,0,0,0,10,10,10,11,12,13,0,0,0,0,0,10,10,10,11,12,13,0,0,0,0,0,10,10,30,31,32,33,0,0,1,2,3,0,1
1,2,3,1,0,1,0,1,0,1,0,1,2,3,10,10,10,20,0,20,21,22,23,10,10,10,10,10,20,0,20,21,22,23,10,10,10,10,10,20,0,10,30,31,32,0,0,1,2,3,0,1
0,1,2,3,10,1,0,1,0,1,0,1,0,0,0,1,2,0,1,0,0,1,2,0,0,0,0,0,1,2,3,31,32,33,0,0,20,20,20,30,10,20,30,31,32,0,0,1,2,3,0,1
10,11,12,13,20,1,1,2,0,1,0,1,10,0,1,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,30,31,32,0,0,1,2,3,0,1
20,21,22,23,30,2,1,0,0,0,0,0,20,0,0,10,0,10,0,0,10,10,10,0,0,0,10,10,0,0,0,0,0,10,10,0,0,0,0,10,10,30,31,32,33,0,0,1,2,3,0,1
0,1,2,3,1,0,3,10,0,10,0,10,30,0,10,0,10,0,10,10,0,20,0,10,10,10,20,0,10,10,10,10,10,20,0,0,10,10,10,20,0,30,31,32,33,10,0,1,2,3,1,2
10,0,1,2,3,10,13,20,10,20,10,20,30,10,20,10,20,10,20,20,10,30,10,20,20,20,30,10,20,20,20,20,20,30,10,10,20,20,20,30,10,20,21,22,23,20,0,1,2,3,1,0
20,10,11,12,13,20,23,30,20,30,20,30,30,20,30,20,30,20,30,30,20,30,20,30,30,30,31,20,30,30,30,30,30,30,20,20,30,30,30,30,20,30,31,32,33,30,10,0,1,2,3,10
30,20,21,22,23,30,33,30,30,30,30,30,31,30,31,30,30,30,30,31,30,30,30,30,31,32,33,30,30,30,31,32,33,33,30,30,30,31,32,33,30,30,31,32,33,23,20,10,11,12,13,20
